,Organisation Name,Town/City,County,Type & Rating,Route
111,2 degrees Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
150,27@Northgate GP Practice,Oxford,,Worker (A rating),Skilled Worker
176,3 Catering Limited,Oxford,Oxon,Worker (A rating),Skilled Worker
267,3Keel LLP,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
389,67 Bricks Ltd.,Oxford,,Worker (A rating),Skilled Worker
1184,Acacia Care and Education Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
1345,Accu Technology UK Ltd,Oxford,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1346,Accu Technology UK Ltd,Oxford,,Worker (A rating),Skilled Worker
1447,ACNielsen Company Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
1448,ACNielsen Company Limited,Oxford,Oxfordshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1449,ACNielsen Company Limited,Oxford,Oxfordshire,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
1482,Acquire Care Ltd,Oxford,,Worker (A rating),Skilled Worker
1523,Actagon Limited,Oxford,Oxfordshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
1524,Actagon Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
1552,Activate Learning Education Trust,Oxford,,Worker (A rating),Skilled Worker
1702,Adaptix Ltd,Oxford,,Worker (A rating),Skilled Worker
2197,AFRY Management Consulting Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
2198,AFRY Management Consulting Limited,Oxford,Oxfordshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
2333,AgilityWorks Ltd,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
2436,Ahmeys Ltd,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
2629,Aistetic Limited,Oxford,,Worker (A rating),Skilled Worker
2944,Albright Dene Ltd,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
3175,ALL DAY RETAIL LIMITED,Oxford,,Worker (A rating),Skilled Worker
3322,Alliance Francaise d'Oxford,Oxford,,Worker (A rating),Skilled Worker
3323,Alliance Francaise d'Oxford,Oxford,,Temporary Worker (A rating),Charity Worker
4170,Anakata Wind Power Resources Ltd,Oxford,,Worker (A rating),Skilled Worker
4279,Andrew J. Dechet,Oxford,,Worker (A rating),International Sportsperson
4316,Angel Care Group Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
4431,Animal Dynamics Ltd,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
4501,Anne Veck Limited,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
5121,Archangel Imaging,Oxford,,Worker (A rating),Skilled Worker
